TE_Name;TA_Name;Tour
Cerundolo J.;Juan Manuel Cerundolo;ATP
Manuel Cerundolo J.;Juan Manuel Cerundolo;ATP
Munar J.;Jaume Munar;ATP
Quinn E.;Ethan Quinn;ATP
Thompson J.;Jordan Thompson;ATP
Shapovalov D.;Denis Shapovalov;ATP
Kecmanovic M.;Miomir Kecmanovic;ATP
Wu Y.;Yibing Wu;ATP
Moutet C.;Corentin Moutet;ATP
Molcan A.;Alex Molcan;ATP
Baez S.;Sebastian Baez;ATP
Carabelli C.;Camilo Ugo Carabelli;ATP
Ugo Carabelli C.;Camilo Ugo Carabelli;ATP
Rune H.;Holger Rune;ATP
Fucsovics M.;Marton Fucsovics;ATP
Daniel Vallejo A.;Adolfo Daniel Vallejo;ATP
Vallejo A.;Adolfo Daniel Vallejo;ATP
Popyrin A.;Alexei Popyrin;ATP
Dimitrov G.;Grigor Dimitrov;ATP
Marozsan F.;Fabian Marozsan;ATP
Bonzi B.;Benjamin Bonzi;ATP
Opelka R.;Reilly Opelka;ATP
Agustin Tirante T.;Thiago Agustin Tirante;ATP
Tirante T.;Thiago Agustin Tirante;ATP
Bergs Z.;Zizou Bergs;ATP
Hijikata R.;Rinky Hijikata;ATP
Shang J.;Juncheng Shang;ATP
Borges N.;Nuno Borges;ATP
Kwon S.;Soon Woo Kwon;ATP
Woo Kwon S.;Soon Woo Kwon;ATP
De Zandschulp B.;Botic Van De Zandschulp;ATP
Van De Zandschulp B.;Botic Van De Zandschulp;ATP
Zandschulp B.;Botic Van De Zandschulp;ATP
Landaluce M.;Martin Landaluce;ATP
Aguilar D.;Daniel Merida Aguilar;ATP
Merida Aguilar D.;Daniel Merida Aguilar;ATP
Mpetshi Perricard G.;Giovanni Mpetshi Perricard;ATP
Perricard G.;Giovanni Mpetshi Perricard;ATP
Altmaier D.;Daniel Altmaier;ATP
Giron M.;Marcos Giron;ATP
Llamas Ruiz P.;Pablo Llamas Ruiz;ATP
Ruiz P.;Pablo Llamas Ruiz;ATP
Safiullin R.;Roman Safiullin;ATP
Svajda Z.;Zachary Svajda;ATP
Bellucci M.;Mattia Bellucci;ATP
Kopriva V.;Vit Kopriva;ATP
Andres Burruchaga R.;Roman Andres Burruchaga;ATP
Burruchaga R.;Roman Andres Burruchaga;ATP
Fery A.;Arthur Fery;ATP
Yunchaokete B.;Bu Yunchaokete;ATP
Basavareddy N.;Nishesh Basavareddy;ATP
Damm M.;Martin Damm;ATP
Virtanen O.;Otto Virtanen;ATP
Atmane T.;Terence Atmane;ATP
Droguet T.;Titouan Droguet;ATP
Halys Q.;Quentin Halys;ATP
Sonego L.;Lorenzo Sonego;ATP
Nishikori K.;Kei Nishikori;ATP
Ofner S.;Sebastian Ofner;ATP
De Jong J.;Jesper De Jong;ATP
Jong J.;Jesper De Jong;ATP
Djere L.;Laslo Djere;ATP
Heide G.;Gustavo Heide;ATP
Assche L.;Luca Van Assche;ATP
Van Assche L.;Luca Van Assche;ATP
Agut R.;Roberto Bautista Agut;ATP
Bautista Agut R.;Roberto Bautista Agut;ATP
Nava E.;Emilio Nava;ATP
Faria J.;Jaime Faria;ATP
Comesana F.;Francisco Comesana;ATP
Riedi L.;Leandro Riedi;ATP
Diallo G.;Gabriel Diallo;ATP
Walton A.;Adam Walton;ATP
Lennard Struff J.;Jan Lennard Struff;ATP
Struff J.;Jan Lennard Struff;ATP
Brooksby J.;Jenson Brooksby;ATP
Shevchenko A.;Alexander Shevchenko;ATP
Nishioka Y.;Yoshihito Nishioka;ATP
Vavassori A.;Andrea Vavassori;ATP
Basilashvili N.;Nikoloz Basilashvili;ATP
Kubler J.;Jason Kubler;ATP
Oconnell C.;Christopher Oconnell;ATP
Gojo B.;Borna Gojo;ATP
Zhang Z.;Zhizhen Zhang;ATP
Shimabukuro S.;Sho Shimabukuro;ATP
Mannarino A.;Adrian Mannarino;ATP
Wawrinka S.;Stan Wawrinka;ATP
Piros Z.;Zsombor Piros;ATP
Rocha H.;Henrique Rocha;ATP
Harris L.;Lloyd Harris;ATP
Garin C.;Cristian Garin;ATP
Goffin D.;David Goffin;ATP
Muller A.;Alexandre Muller;ATP
Jacquet K.;Kyrian Jacquet;ATP
Acosta F.;Facundo Diaz Acosta;ATP
Diaz Acosta F.;Facundo Diaz Acosta;ATP
Samuel T.;Toby Samuel;ATP
Royer V.;Valentin Royer;ATP
Jarry N.;Nicolas Jarry;ATP
Svrcina D.;Dalibor Svrcina;ATP
Pellegrino A.;Andrea Pellegrino;ATP
Zheng M.;Michael Zheng;ATP
Kovacevic A.;Aleksandar Kovacevic;ATP
Trungelliti M.;Marco Trungelliti;ATP
Kypson P.;Patrick Kypson;ATP
Duckworth J.;James Duckworth;ATP
Sakellaridis S.;Stefanos Sakellaridis;ATP
Rodesch C.;Chris Rodesch;ATP
Choinski J.;Jan Choinski;ATP
Budkov Kjaer N.;Nicolai Budkov Kjaer;ATP
Kjaer N.;Nicolai Budkov Kjaer;ATP
Sakamoto R.;Rei Sakamoto;ATP
Lajovic D.;Dusan Lajovic;ATP
Moller E.;Elmer Moller;ATP
Baena R.;Roberto Carballes Baena;ATP
Carballes Baena R.;Roberto Carballes Baena;ATP
Dzumhur D.;Damir Dzumhur;ATP
Vukic A.;Aleksandar Vukic;ATP
Zeppieri G.;Giulio Zeppieri;ATP
Gaston H.;Hugo Gaston;ATP
Barrios Vera T.;Tomas Barrios Vera;ATP
Vera T.;Tomas Barrios Vera;ATP
